;Año 1;;;;;;;;;;;;Año 2;;;;;;;;;;;;Año 3;;;;;;;;;;;;Año 4;;;;;;;;;;;;Año 5;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;15;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
1;10.06;10.06;10.06;10.86;10.86;10.86;12.07;12.07;12.07;13.68;13.68;13.68;15.09;15.09;15.09;16.5;16.5;16.5;17.3;17.3;17.3;17.91;17.91;17.91;18.51;18.51;18.51;19.11;19.11;19.11;19.51;19.51;19.51;19.92;19.92;19.92;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12;20.12
2;4.85;4.85;4.85;5.23;5.23;5.23;5.82;5.82;5.82;6.59;6.59;6.59;7.27;7.27;7.27;7.95;7.95;7.95;8.34;8.34;8.34;8.63;8.63;8.63;8.92;8.92;8.92;9.21;9.21;9.21;9.4;9.4;9.4;9.6;9.6;9.6;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69;9.69
3;6.35;6.35;6.35;6.86;6.86;6.86;7.62;7.62;7.62;8.63;8.63;8.63;9.52;9.52;9.52;10.41;10.41;10.41;10.92;10.92;10.92;11.3;11.3;11.3;11.68;11.68;11.68;12.06;12.06;12.06;12.32;12.32;12.32;12.57;12.57;12.57;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7;12.7
4;4.61;4.61;4.61;4.98;4.98;4.98;5.53;5.53;5.53;6.27;6.27;6.27;6.92;6.92;6.92;7.56;7.56;7.56;7.93;7.93;7.93;8.21;8.21;8.21;8.49;8.49;8.49;8.76;8.76;8.76;8.95;8.95;8.95;9.13;9.13;9.13;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22;9.22
5;6.81;6.81;6.81;7.35;7.35;7.35;8.17;8.17;8.17;9.26;9.26;9.26;10.21;10.21;10.21;11.16;11.16;11.16;11.71;11.71;11.71;12.12;12.12;12.12;12.52;12.52;12.52;12.93;12.93;12.93;13.21;13.21;13.21;13.48;13.48;13.48;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61;13.61
6;22.29;22.29;22.29;24.07;24.07;24.07;26.75;26.75;26.75;30.32;30.32;30.32;33.44;33.44;33.44;36.56;36.56;36.56;38.34;38.34;38.34;39.68;39.68;39.68;41.02;41.02;41.02;42.35;42.35;42.35;43.25;43.25;43.25;44.14;44.14;44.14;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58;44.58
7;36.17;36.17;36.17;39.07;39.07;39.07;43.41;43.41;43.41;49.2;49.2;49.2;54.26;54.26;54.26;59.33;59.33;59.33;62.22;62.22;62.22;64.39;64.39;64.39;66.56;66.56;66.56;68.73;68.73;68.73;70.18;70.18;70.18;71.62;71.62;71.62;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35;72.35
8;67.11;67.11;67.11;72.47;72.47;72.47;80.53;80.53;80.53;91.26;91.26;91.26;100.66;100.66;100.66;110.05;110.05;110.05;115.42;115.42;115.42;119.45;119.45;119.45;123.48;123.48;123.48;127.5;127.5;127.5;130.19;130.19;130.19;132.87;132.87;132.87;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21;134.21
9;61.85;61.85;61.85;66.8;66.8;66.8;74.22;74.22;74.22;84.12;84.12;84.12;92.78;92.78;92.78;101.44;101.44;101.44;106.39;106.39;106.39;110.1;110.1;110.1;113.81;113.81;113.81;117.52;117.52;117.52;120;120;120;122.47;122.47;122.47;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71;123.71
10;52.54;52.54;52.54;56.74;56.74;56.74;63.05;63.05;63.05;71.45;71.45;71.45;78.81;78.81;78.81;86.17;86.17;86.17;90.37;90.37;90.37;93.52;93.52;93.52;96.67;96.67;96.67;99.83;99.83;99.83;101.93;101.93;101.93;104.03;104.03;104.03;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08;105.08
11;42.89;42.89;42.89;46.32;46.32;46.32;51.46;51.46;51.46;58.32;58.32;58.32;64.33;64.33;64.33;70.33;70.33;70.33;73.76;73.76;73.76;76.34;76.34;76.34;78.91;78.91;78.91;81.48;81.48;81.48;83.2;83.2;83.2;84.91;84.91;84.91;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77;85.77
12;40.53;40.53;40.53;43.78;43.78;43.78;48.64;48.64;48.64;55.12;55.12;55.12;60.8;60.8;60.8;66.47;66.47;66.47;69.72;69.72;69.72;72.15;72.15;72.15;74.58;74.58;74.58;77.01;77.01;77.01;78.63;78.63;78.63;80.25;80.25;80.25;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07;81.07
13;49.73;49.73;49.73;53.7;53.7;53.7;59.67;59.67;59.67;67.63;67.63;67.63;74.59;74.59;74.59;81.55;81.55;81.55;85.53;85.53;85.53;88.51;88.51;88.51;91.5;91.5;91.5;94.48;94.48;94.48;96.47;96.47;96.47;98.46;98.46;98.46;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45;99.45
14;50.62;50.62;50.62;54.66;54.66;54.66;60.74;60.74;60.74;68.84;68.84;68.84;75.92;75.92;75.92;83.01;83.01;83.01;87.06;87.06;87.06;90.1;90.1;90.1;93.13;93.13;93.13;96.17;96.17;96.17;98.19;98.19;98.19;100.22;100.22;100.22;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23;101.23
15;62.47;62.47;62.47;67.47;67.47;67.47;74.96;74.96;74.96;84.96;84.96;84.96;93.7;93.7;93.7;102.45;102.45;102.45;107.45;107.45;107.45;111.19;111.19;111.19;114.94;114.94;114.94;118.69;118.69;118.69;121.19;121.19;121.19;123.69;123.69;123.69;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94;124.94
16;56.63;56.63;56.63;61.16;61.16;61.16;67.95;67.95;67.95;77.01;77.01;77.01;84.94;84.94;84.94;92.87;92.87;92.87;97.4;97.4;97.4;100.8;100.8;100.8;104.2;104.2;104.2;107.59;107.59;107.59;109.86;109.86;109.86;112.12;112.12;112.12;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26;113.26
17;49.48;49.48;49.48;53.44;53.44;53.44;59.38;59.38;59.38;67.3;67.3;67.3;74.23;74.23;74.23;81.15;81.15;81.15;85.11;85.11;85.11;88.08;88.08;88.08;91.05;91.05;91.05;94.02;94.02;94.02;96;96;96;97.98;97.98;97.98;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97;98.97
