;Año 1;;;;;;;;;;;;Año 2;;;;;;;;;;;;Año 3;;;;;;;;;;;;Año 4;;;;;;;;;;;;Año 5;;;;;;;;;;;
Hora;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
1;46;46;46;49.68;49.68;49.68;55.2;55.2;55.2;62.56;62.56;62.56;69;69;69;75.44;75.44;75.44;79.12;79.12;79.12;81.88;81.88;81.88;84.64;84.64;84.64;87.4;87.4;87.4;89.24;89.24;89.24;91.08;91.08;91.08;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92
2;52;52;52;56.16;56.16;56.16;62.4;62.4;62.4;70.72;70.72;70.72;78;78;78;85.28;85.28;85.28;89.44;89.44;89.44;92.56;92.56;92.56;95.68;95.68;95.68;98.8;98.8;98.8;100.88;100.88;100.88;102.96;102.96;102.96;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104;104
3;81.25;81.25;81.25;87.75;87.75;87.75;97.5;97.5;97.5;110.5;110.5;110.5;121.88;121.88;121.88;133.25;133.25;133.25;139.75;139.75;139.75;144.63;144.63;144.63;149.5;149.5;149.5;154.38;154.38;154.38;157.63;157.63;157.63;160.88;160.88;160.88;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5;162.5
4;68.75;68.75;68.75;74.25;74.25;74.25;82.5;82.5;82.5;93.5;93.5;93.5;103.13;103.13;103.13;112.75;112.75;112.75;118.25;118.25;118.25;122.38;122.38;122.38;126.5;126.5;126.5;130.63;130.63;130.63;133.38;133.38;133.38;136.13;136.13;136.13;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5;137.5
5;57;57;57;61.56;61.56;61.56;68.4;68.4;68.4;77.52;77.52;77.52;85.5;85.5;85.5;93.48;93.48;93.48;98.04;98.04;98.04;101.46;101.46;101.46;104.88;104.88;104.88;108.3;108.3;108.3;110.58;110.58;110.58;112.86;112.86;112.86;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114;114
6;72.25;72.25;72.25;78.03;78.03;78.03;86.7;86.7;86.7;98.26;98.26;98.26;108.38;108.38;108.38;118.49;118.49;118.49;124.27;124.27;124.27;128.61;128.61;128.61;132.94;132.94;132.94;137.28;137.28;137.28;140.17;140.17;140.17;143.06;143.06;143.06;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5;144.5
7;69;69;69;74.52;74.52;74.52;82.8;82.8;82.8;93.84;93.84;93.84;103.5;103.5;103.5;113.16;113.16;113.16;118.68;118.68;118.68;122.82;122.82;122.82;126.96;126.96;126.96;131.1;131.1;131.1;133.86;133.86;133.86;136.62;136.62;136.62;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138
8;53.25;53.25;53.25;57.51;57.51;57.51;63.9;63.9;63.9;72.42;72.42;72.42;79.88;79.88;79.88;87.33;87.33;87.33;91.59;91.59;91.59;94.79;94.79;94.79;97.98;97.98;97.98;101.18;101.18;101.18;103.31;103.31;103.31;105.44;105.44;105.44;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5;106.5
9;55.25;55.25;55.25;59.67;59.67;59.67;66.3;66.3;66.3;75.14;75.14;75.14;82.88;82.88;82.88;90.61;90.61;90.61;95.03;95.03;95.03;98.35;98.35;98.35;101.66;101.66;101.66;104.98;104.98;104.98;107.19;107.19;107.19;109.4;109.4;109.4;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5;110.5
10;46;46;46;49.68;49.68;49.68;55.2;55.2;55.2;62.56;62.56;62.56;69;69;69;75.44;75.44;75.44;79.12;79.12;79.12;81.88;81.88;81.88;84.64;84.64;84.64;87.4;87.4;87.4;89.24;89.24;89.24;91.08;91.08;91.08;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92;92
